userName,userEmail,userPassword
Ana Souza,ana.souza@example.com,Senha123@
Bruno Lima,bruno.lima@example.com,Teste456!
Carla Mendes,carla.mendes@example.com,Pass789#
Diego Rocha,diego.rocha@example.com,QAauto2024@
Eduarda Farias,eduarda.farias@example.com,DevTest321$
Felipe Gomes,felipe.gomes@example.com,Automation#55
Gabriela Alves,gabriela.alves@example.com,SenhaSegura!9
Henrique Tavares,henrique.tavares@example.com,TestUser@12
Isabela Duarte,isabela.duarte@example.com,PassWord#88
João Ribeiro,joao.ribeiro@example.com,Teste!2024
